epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6571.73,0.96468,0.89803,1.09029,0.81953,0.93333,0.89522,0.66103,0.9353,0.70882,1.04789,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6767.9,0.96076,0.86483,1.08996,0.82062,0.87806,0.87651,0.64216,1.00901,0.67912,1.09174,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6962.58,0.96767,0.88212,1.08672,0.78078,0.92609,0.86812,0.64811,0.95228,0.6793,1.05321,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7166.88,0.95853,0.88243,1.08765,0.77942,0.89668,0.84931,0.62429,0.94505,0.71876,1.04462,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7364.85,0.94017,0.87816,1.07454,0.77093,0.88778,0.85711,0.65087,0.84555,0.68774,1.00063,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7563.19,0.94627,0.87336,1.08039,0.81721,0.89862,0.90111,0.68292,0.88314,0.63353,1.02485,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7761.82,0.93559,0.87492,1.07577,0.80094,0.92172,0.90427,0.68623,0.86556,0.62689,1.03174,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7959.4,0.94542,0.85511,1.07909,0.7982,0.90753,0.86879,0.63422,0.93808,0.70577,1.03334,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8159.26,0.94313,0.86532,1.07387,0.79719,0.93745,0.88435,0.66388,0.87791,0.64842,1.03489,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8359.98,0.93146,0.83833,1.07515,0.78084,0.93944,0.87794,0.67573,0.83395,0.67566,1.01485,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8557.39,0.9229,0.8451,1.06931,0.77696,0.90557,0.86636,0.66678,0.81405,0.65544,1.01691,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8757.59,0.91747,0.84045,1.06443,0.8117,0.89259,0.88851,0.67468,0.82621,0.66673,0.98623,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,8971.44,0.91839,0.83575,1.06288,0.80471,0.89534,0.88227,0.66765,0.85856,0.65368,1.00078,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9179.55,0.91757,0.83085,1.05927,0.82011,0.90091,0.89188,0.68223,0.87119,0.64989,1.01341,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9385.43,0.92555,0.82292,1.07039,0.81928,0.91079,0.88016,0.66567,0.88777,0.64397,1.03897,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9594.49,0.90473,0.81235,1.0524,0.8293,0.89119,0.88949,0.69475,0.79148,0.59393,1.00493,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,9803.71,0.91746,0.8298,1.06469,0.80862,0.91494,0.89182,0.69337,0.83917,0.61978,1.02814,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10017.2,0.89521,0.79937,1.05013,0.82773,0.89456,0.89024,0.67448,0.85158,0.62673,1.00742,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10227.3,0.9078,0.80643,1.05929,0.81492,0.91556,0.89555,0.68054,0.83972,0.61026,0.99083,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10441.9,0.90433,0.7965,1.05293,0.83736,0.88171,0.87755,0.67958,0.7985,0.60415,0.98043,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10652.2,0.88425,0.79635,1.04694,0.84859,0.90932,0.90642,0.68442,0.9044,0.61948,1.01484,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10862.8,0.88912,0.79504,1.05083,0.82289,0.93007,0.90603,0.70596,0.80387,0.61391,0.98855,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11071.2,0.8821,0.78069,1.04547,0.81803,0.90037,0.88628,0.6724,0.92412,0.6273,1.01653,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11281.2,0.88807,0.78014,1.05256,0.80605,0.93811,0.91005,0.68103,0.87904,0.62689,1.01337,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11497.4,0.8796,0.78139,1.04301,0.80322,0.93565,0.89155,0.70857,0.76684,0.59476,0.97374,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11705.8,0.88619,0.78044,1.04394,0.83233,0.90864,0.91118,0.70247,0.83072,0.59429,0.98891,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11921.1,0.8666,0.77392,1.04621,0.82382,0.89317,0.89938,0.71077,0.76812,0.58444,0.97392,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,12133.1,0.87598,0.77714,1.04603,0.84125,0.90024,0.90009,0.71302,0.81325,0.59904,0.99608,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12354.8,0.88272,0.78232,1.047,0.84792,0.90947,0.91027,0.7173,0.79528,0.59101,0.97588,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12558.7,0.86923,0.76582,1.04387,0.80655,0.92978,0.88358,0.67746,0.85737,0.59546,1.01706,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12770.4,0.86435,0.75887,1.04052,0.79971,0.91604,0.87582,0.68909,0.7839,0.5993,0.98815,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12983.5,0.87029,0.76638,1.03691,0.84047,0.86311,0.89664,0.69701,0.7891,0.6072,0.98374,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,13192.1,0.85997,0.76631,1.04079,0.81284,0.90158,0.902,0.71685,0.80677,0.58063,0.97149,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13396.5,0.86392,0.76528,1.03862,0.81911,0.9179,0.90108,0.7187,0.79433,0.61637,0.99472,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13607,0.87092,0.77308,1.03841,0.829,0.90409,0.9093,0.73023,0.76145,0.58757,0.99199,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13814.8,0.84484,0.74387,1.03448,0.8293,0.89978,0.90164,0.71507,0.77608,0.58104,0.98913,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,14027.6,0.85532,0.75435,1.03007,0.84753,0.91656,0.90383,0.71344,0.76654,0.56304,0.95196,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14239.7,0.8573,0.75814,1.03198,0.82967,0.90868,0.90288,0.7081,0.85951,0.58609,1.01593,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14451.7,0.86438,0.75855,1.04011,0.8548,0.90346,0.9019,0.70764,0.83826,0.5976,0.98899,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14659.2,0.86027,0.7523,1.03704,0.79899,0.94156,0.89022,0.70604,0.78931,0.59255,0.98998,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,14858.8,0.84783,0.73964,1.02385,0.81471,0.93375,0.89896,0.72164,0.74699,0.56991,0.95964,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,15069.7,0.84498,0.75782,1.02251,0.84179,0.8962,0.89785,0.71034,0.76967,0.59044,0.96539,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
