epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7474.31,0.85983,0.9413,1.07226,0.84743,0.88882,0.90213,0.68581,0.89928,0.6415,0.98609,0.000612931,0.000612931,0.000612931
43,7668.78,0.84707,0.93426,1.07739,0.83295,0.92283,0.91048,0.684,0.86539,0.66997,0.96234,0.000609125,0.000609125,0.000609125
44,7870.26,0.86784,0.91831,1.07305,0.83022,0.90554,0.91342,0.71788,0.75898,0.64504,0.94035,0.000605318,0.000605318,0.000605318
45,8062.6,0.83634,0.91746,1.07267,0.83686,0.87355,0.89534,0.69715,0.80584,0.68051,0.95319,0.000601512,0.000601512,0.000601512
46,8250.81,0.85226,0.92664,1.06732,0.82636,0.86625,0.87582,0.67487,0.84144,0.69016,0.95773,0.000597705,0.000597705,0.000597705
47,8447.82,0.84582,0.90244,1.06926,0.84329,0.91363,0.91028,0.6996,0.84156,0.64201,0.95503,0.000593899,0.000593899,0.000593899
48,8641.65,0.83217,0.93753,1.06403,0.82631,0.8871,0.88797,0.66023,0.92787,0.67143,0.97942,0.000590092,0.000590092,0.000590092
49,8827.74,0.83069,0.91529,1.07019,0.81938,0.88855,0.88887,0.6856,0.83598,0.67295,0.95998,0.000586286,0.000586286,0.000586286
50,9023.99,0.8336,0.87332,1.05728,0.82658,0.91325,0.90983,0.71947,0.78072,0.62406,0.93318,0.000582479,0.000582479,0.000582479
51,9214.8,0.82437,0.9038,1.05554,0.83054,0.87132,0.88464,0.65295,0.94262,0.69737,0.9879,0.000578672,0.000578672,0.000578672
52,9409.18,0.84384,0.89499,1.06472,0.82906,0.88599,0.88665,0.68737,0.84937,0.653,0.96026,0.000574866,0.000574866,0.000574866
53,9599.71,0.82838,0.88596,1.05782,0.84458,0.90246,0.9003,0.68864,0.85938,0.6521,0.95834,0.000571059,0.000571059,0.000571059
54,9795.38,0.82386,0.89052,1.04779,0.82641,0.871,0.88565,0.68924,0.82191,0.64336,0.95102,0.000567253,0.000567253,0.000567253
55,9987.86,0.81583,0.87976,1.05909,0.83991,0.93531,0.91515,0.7212,0.76995,0.60429,0.93575,0.000563446,0.000563446,0.000563446
56,10186.2,0.82049,0.86731,1.05438,0.8369,0.87617,0.90482,0.68996,0.85422,0.66418,0.96956,0.00055964,0.00055964,0.00055964
57,10377,0.83526,0.88983,1.05605,0.82216,0.91572,0.89927,0.67779,0.90409,0.64196,0.96896,0.000555833,0.000555833,0.000555833
58,10568.5,0.81052,0.8699,1.04501,0.82902,0.89236,0.90243,0.68849,0.84168,0.65128,0.96707,0.000552027,0.000552027,0.000552027
59,10765.4,0.8279,0.88129,1.06042,0.82934,0.88093,0.8839,0.6823,0.83936,0.6486,0.95109,0.00054822,0.00054822,0.00054822
60,10958.9,0.80668,0.87142,1.04171,0.79805,0.92892,0.90636,0.72267,0.76335,0.64025,0.93525,0.000544414,0.000544414,0.000544414
61,11157.1,0.81419,0.86326,1.04828,0.82167,0.90596,0.88801,0.67349,0.87989,0.66449,0.95697,0.000540607,0.000540607,0.000540607
62,11356.6,0.80799,0.8652,1.04463,0.83033,0.92083,0.91097,0.71211,0.81179,0.6273,0.95347,0.0005368,0.0005368,0.0005368
63,11548,0.8229,0.86346,1.05595,0.82533,0.92576,0.90706,0.71405,0.79894,0.60509,0.94199,0.000532994,0.000532994,0.000532994
64,11748.4,0.81471,0.85201,1.05069,0.83944,0.89144,0.91133,0.70754,0.82056,0.63547,0.94964,0.000529187,0.000529187,0.000529187
65,11944.4,0.79536,0.85388,1.04795,0.83958,0.91072,0.9058,0.71651,0.77333,0.62122,0.94089,0.000525381,0.000525381,0.000525381
66,12138.4,0.79357,0.85456,1.04781,0.85811,0.88821,0.91391,0.70956,0.83384,0.62302,0.93806,0.000521574,0.000521574,0.000521574
67,12336.9,0.7931,0.85666,1.04534,0.86303,0.86338,0.91017,0.72477,0.75135,0.60302,0.93013,0.000517768,0.000517768,0.000517768
68,12540.6,0.79603,0.83762,1.04118,0.83726,0.92502,0.90785,0.7336,0.7511,0.57147,0.93917,0.000513961,0.000513961,0.000513961
69,12738.4,0.79336,0.83049,1.04573,0.85544,0.88263,0.9128,0.72209,0.76273,0.60495,0.93666,0.000510155,0.000510155,0.000510155
70,12936.5,0.79074,0.84471,1.04149,0.83738,0.88371,0.89438,0.6846,0.86964,0.62424,0.96307,0.000506348,0.000506348,0.000506348
71,13132.9,0.78786,0.8248,1.04013,0.82971,0.89164,0.90237,0.70221,0.79892,0.62486,0.95366,0.000502541,0.000502541,0.000502541
72,13332.8,0.79168,0.83527,1.05153,0.85884,0.89529,0.90576,0.72063,0.77529,0.60118,0.9435,0.000498735,0.000498735,0.000498735
73,13535.1,0.77919,0.82708,1.04153,0.82164,0.91434,0.90999,0.71772,0.77086,0.58848,0.93884,0.000494928,0.000494928,0.000494928
74,13744.3,0.78752,0.83787,1.04463,0.8419,0.90967,0.91285,0.72283,0.76345,0.59246,0.93746,0.000491122,0.000491122,0.000491122
75,13945.2,0.77729,0.8224,1.03166,0.84663,0.89703,0.91109,0.71616,0.78137,0.61107,0.93314,0.000487315,0.000487315,0.000487315
76,14154.6,0.78156,0.83791,1.04347,0.85129,0.8943,0.91149,0.72955,0.74551,0.58206,0.9345,0.000483509,0.000483509,0.000483509
77,14361.2,0.77762,0.82856,1.04254,0.81603,0.90845,0.90675,0.73697,0.70927,0.58969,0.92907,0.000479702,0.000479702,0.000479702
78,14573.8,0.76845,0.81179,1.03355,0.85047,0.90692,0.90759,0.73392,0.74173,0.56698,0.93464,0.000475896,0.000475896,0.000475896
79,14780.7,0.77581,0.81313,1.02882,0.85708,0.89209,0.90589,0.70913,0.81537,0.5978,0.9475,0.000472089,0.000472089,0.000472089
