epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5139.37,0.92372,0.81985,1.057,0.82285,0.89661,0.86022,0.6283,0.90211,0.65449,1.01849,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5309.38,0.91541,0.80459,1.05505,0.81812,0.87213,0.84787,0.65122,0.79342,0.65618,0.97996,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,5491.06,0.91788,0.80832,1.06095,0.81617,0.8853,0.87097,0.625,0.931,0.66549,1.0186,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5670.21,0.90758,0.81486,1.05847,0.81521,0.87497,0.84999,0.6612,0.77742,0.6411,0.99447,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5863,0.91141,0.78714,1.05343,0.84401,0.8794,0.8344,0.60534,0.95173,0.68915,1.01709,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,6070.87,0.90509,0.79979,1.05191,0.82279,0.89854,0.86057,0.61757,0.96347,0.64849,1.0349,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,6277.15,0.89853,0.77768,1.04189,0.84583,0.87106,0.84944,0.62315,0.88183,0.62466,1.01388,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,6469.46,0.88869,0.79709,1.0456,0.83645,0.90649,0.87316,0.66532,0.81517,0.60533,0.99941,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,6663.47,0.89156,0.78188,1.04292,0.83588,0.91448,0.87176,0.64651,0.89199,0.6193,1.018,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,6860.14,0.89004,0.79124,1.041,0.8015,0.92036,0.84924,0.62592,0.92963,0.66154,1.00526,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,7067.15,0.89641,0.78515,1.04926,0.82223,0.90738,0.87153,0.65621,0.88274,0.61478,1.01591,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,7290.89,0.88569,0.77262,1.04978,0.85649,0.88105,0.87115,0.66976,0.80593,0.5984,0.98809,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,7514.26,0.87091,0.76965,1.04014,0.8649,0.87722,0.87563,0.66912,0.78414,0.62372,0.98688,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,7743.67,0.87257,0.76033,1.04275,0.82434,0.8934,0.85023,0.66729,0.74611,0.61417,0.98126,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,7966.1,0.87301,0.76712,1.04211,0.80037,0.91647,0.85276,0.6525,0.86176,0.61942,1.00348,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
