epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4990.13,0.90734,0.8403,1.07776,0.79347,0.93871,0.89478,0.6778,0.86701,0.60242,0.98853,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5143.87,0.91253,0.85334,1.07827,0.81745,0.89868,0.89962,0.67456,0.81794,0.61448,0.96906,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,5300.98,0.91836,0.86384,1.08867,0.84212,0.87743,0.88737,0.69005,0.78844,0.59483,0.96324,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5460.18,0.8995,0.84295,1.07091,0.81567,0.88854,0.87691,0.67532,0.80461,0.62672,0.95486,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5634.43,0.89448,0.82899,1.06905,0.78486,0.89261,0.8902,0.66067,0.89751,0.62115,1.00642,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,5788.52,0.89824,0.82955,1.06771,0.81752,0.87276,0.87181,0.6648,0.81767,0.64109,0.96478,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5939.57,0.88701,0.81518,1.06689,0.81976,0.88774,0.89227,0.71668,0.68723,0.57348,0.93028,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,6094.24,0.88985,0.81682,1.0656,0.85125,0.87433,0.9014,0.72302,0.68015,0.57359,0.92699,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,6245.71,0.89253,0.81054,1.07382,0.82047,0.90588,0.89898,0.6956,0.7979,0.56629,0.95371,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,6399.27,0.88075,0.82432,1.06066,0.83755,0.87484,0.8913,0.70357,0.72471,0.56892,0.94242,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,6551.81,0.87936,0.80019,1.05968,0.8049,0.88094,0.88803,0.68214,0.80577,0.60686,0.96531,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,6707.74,0.86482,0.78611,1.05384,0.80804,0.85593,0.8684,0.68625,0.71643,0.60886,0.93551,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,6865.52,0.86745,0.80438,1.05326,0.85044,0.89322,0.9016,0.70563,0.76398,0.57517,0.93827,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,7017.37,0.86981,0.80708,1.05929,0.81308,0.90608,0.8963,0.68354,0.81044,0.57781,0.95833,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,7173.09,0.86799,0.79609,1.06244,0.81933,0.87222,0.90377,0.6981,0.83194,0.59706,0.96515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,7329.4,0.85799,0.77354,1.05192,0.83864,0.89257,0.90061,0.71324,0.72099,0.55304,0.93477,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,7491.65,0.8604,0.79382,1.05146,0.82811,0.88663,0.88444,0.67938,0.79223,0.61402,0.94567,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,7642.58,0.84104,0.75923,1.04489,0.81893,0.89871,0.90078,0.69779,0.80971,0.58196,0.9578,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,7800.44,0.85104,0.78928,1.04217,0.8314,0.89783,0.8895,0.70225,0.76323,0.58099,0.9505,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,7958.51,0.85388,0.78154,1.05825,0.8055,0.90981,0.89749,0.70779,0.739,0.58414,0.95187,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,8110.88,0.85065,0.76061,1.04156,0.7968,0.87736,0.87371,0.65417,0.84323,0.61655,0.96955,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,8269.57,0.84751,0.76893,1.0399,0.81539,0.91989,0.91774,0.73525,0.65445,0.52724,0.91515,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,8428.98,0.85863,0.77488,1.04699,0.7902,0.91992,0.89808,0.74338,0.63259,0.53682,0.91045,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,8591.05,0.83884,0.76262,1.04462,0.82471,0.88232,0.89354,0.69549,0.77092,0.54849,0.9432,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,8754.49,0.82683,0.75096,1.034,0.79834,0.9357,0.89113,0.68541,0.80123,0.56876,0.9604,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,8916,0.82987,0.76061,1.03691,0.88297,0.86538,0.90997,0.74992,0.62931,0.52244,0.90717,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,9074.71,0.83266,0.75364,1.04534,0.82018,0.9117,0.91033,0.74114,0.6672,0.53174,0.91346,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,9230.56,0.83174,0.74704,1.03497,0.80604,0.90768,0.9013,0.71629,0.70163,0.54649,0.91981,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,9390.06,0.82549,0.74394,1.03517,0.82867,0.91714,0.90854,0.74181,0.6652,0.51841,0.91419,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,9554.32,0.83192,0.75143,1.03897,0.85825,0.91761,0.91953,0.736,0.71794,0.50873,0.92453,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,9709.71,0.82454,0.74723,1.03585,0.80605,0.92169,0.90212,0.73316,0.65558,0.53158,0.90472,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,9873.8,0.81389,0.74829,1.03395,0.84442,0.8953,0.89578,0.72876,0.64428,0.55164,0.91714,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,10034.7,0.81763,0.7356,1.0337,0.84648,0.84908,0.88093,0.67736,0.79963,0.56718,0.95697,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,10195.8,0.80899,0.7254,1.03457,0.85203,0.89298,0.90409,0.71899,0.69965,0.51052,0.91952,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
