epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.615,1.28913,3.72858,1.27943,0.45854,0.3467,0.42981,0.27543,1.17479,3.70867,1.1085,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897
2,314.604,1.19749,2.24505,1.1953,0.60322,0.62235,0.62592,0.38251,1.34551,2.81096,1.23392,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042
3,496.885,1.26231,1.91341,1.21348,0.37024,0.25954,0.20827,0.1109,1.57566,8.18234,1.47041,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986
4,681.253,1.32797,1.7066,1.27566,0.53703,0.33231,0.32183,0.18283,1.53803,3.7744,1.44167,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,891.388,1.28897,1.42937,1.25413,0.46939,0.36406,0.34923,0.20235,1.49359,1.94287,1.37268,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1104.68,1.24244,1.32803,1.23741,0.60956,0.32082,0.32438,0.20295,1.4752,2.6457,1.3299,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1324.8,1.19228,1.24056,1.20639,0.65817,0.49365,0.48195,0.29598,1.31155,1.54899,1.28702,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1552.46,1.18372,1.17796,1.20236,0.59004,0.53677,0.46381,0.30689,1.17309,1.46935,1.15112,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1780.15,1.15598,1.15,1.18641,0.6246,0.60372,0.50762,0.32004,1.30764,1.21129,1.18994,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1996.57,1.12837,1.09868,1.17601,0.73485,0.76971,0.77729,0.47102,1.39467,1.1368,1.27807,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2206.82,1.11514,1.07128,1.1633,0.45831,0.41813,0.30576,0.17178,2.03872,6.61576,1.95308,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2415.72,1.09115,1.04446,1.14313,0.71042,0.78905,0.77713,0.52406,1.15692,0.92595,1.10912,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2608.44,1.07996,1.02416,1.14927,0.75788,0.85848,0.83947,0.55751,1.16415,0.92203,1.14004,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2817.47,1.07881,1.02178,1.15097,0.76513,0.89133,0.83244,0.54158,1.23484,0.99598,1.15389,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3018.79,1.03192,0.96538,1.11886,0.71182,0.89257,0.83386,0.59264,1.07352,0.93313,1.09469,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3217.63,1.04508,0.96747,1.12668,0.8079,0.88574,0.86884,0.5628,1.24334,0.8769,1.1389,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3441.95,1.02563,0.96001,1.12656,0.74141,0.86397,0.83544,0.61314,0.9971,0.8668,1.06395,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3661.03,1.00468,0.93946,1.11081,0.66721,0.80761,0.81946,0.54117,1.22575,1.03313,1.12717,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3882.64,1.01334,0.9241,1.11037,0.78777,0.89317,0.86419,0.59987,1.05972,0.77957,1.05314,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4102.84,1.00278,0.9087,1.09519,0.78471,0.86576,0.8694,0.64254,0.99667,0.75668,1.05117,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4319.87,0.98542,0.91126,1.10102,0.79565,0.83797,0.85077,0.59412,1.08197,0.82037,1.08338,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4537.6,0.98438,0.90136,1.08542,0.80244,0.89353,0.87749,0.61573,1.05944,0.77099,1.05283,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4760.59,0.98349,0.888,1.09318,0.76227,0.89962,0.8617,0.60716,1.06105,0.78505,1.05577,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4988.81,0.9718,0.86723,1.09142,0.76231,0.87658,0.85661,0.60157,1.07789,0.75761,1.07274,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5212.94,0.95307,0.85781,1.07582,0.82737,0.85214,0.88964,0.61265,1.07226,0.75883,1.07417,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5435.74,0.96542,0.87714,1.08898,0.80427,0.8889,0.89875,0.63945,1.01819,0.76052,1.02237,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5668.61,0.95211,0.8601,1.07503,0.80761,0.88014,0.88254,0.64763,1.01398,0.72397,1.03976,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5893.59,0.94458,0.8508,1.07513,0.82852,0.88768,0.89529,0.60773,1.15673,0.75767,1.09779,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,6121.17,0.95453,0.85252,1.08163,0.80346,0.82468,0.834,0.57861,1.05801,0.82883,1.05045,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6346.01,0.93724,0.81811,1.07521,0.8132,0.88145,0.87002,0.64096,0.95633,0.7227,1.03014,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6573.72,0.9371,0.81896,1.08016,0.77801,0.87248,0.84694,0.55312,1.2715,0.82063,1.14481,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,6800.18,0.92569,0.82027,1.06754,0.82501,0.89497,0.89846,0.65462,0.99738,0.71115,1.03897,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,7032.77,0.9212,0.80987,1.06129,0.811,0.91371,0.88541,0.68209,0.86184,0.68319,0.99607,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7265.72,0.90874,0.80087,1.05666,0.82773,0.88106,0.89088,0.65123,0.95328,0.70786,1.01215,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7498.92,0.91314,0.79207,1.06466,0.82954,0.88505,0.88331,0.6448,0.97285,0.68712,1.0202,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7729.82,0.90239,0.79233,1.05625,0.81177,0.88726,0.8878,0.6633,0.90668,0.68131,1.00608,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7962.59,0.89742,0.77941,1.05088,0.8467,0.86434,0.8921,0.6608,0.99878,0.70169,1.02342,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,8190.21,0.89136,0.79745,1.04323,0.81872,0.86519,0.89313,0.63875,1.05077,0.69085,1.04197,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8431.9,0.89672,0.79609,1.05637,0.83828,0.87933,0.91173,0.68996,0.90109,0.68777,0.99546,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8666.31,0.89038,0.78016,1.04706,0.80602,0.86563,0.88034,0.62749,1.02452,0.75184,1.03709,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8907.07,0.88824,0.78728,1.04979,0.8087,0.90847,0.88014,0.66423,0.92169,0.69737,0.99124,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,9157.15,0.87921,0.77167,1.05045,0.80512,0.87807,0.88762,0.66598,0.90664,0.69083,1.00656,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
