epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15101.1,0.60602,0.52789,0.96519,0.95959,0.92583,0.947,0.8032,0.62496,0.44052,0.85429,0.000494885,0.000494885,0.000494885
43,16183.6,0.60431,0.49507,0.96241,0.96048,0.96768,0.98122,0.80365,0.71088,0.43955,0.87816,0.000486639,0.000486639,0.000486639
44,17175.4,0.59001,0.49326,0.95401,0.96554,0.96389,0.98622,0.81767,0.66809,0.42504,0.86495,0.000478392,0.000478392,0.000478392
45,17501.2,0.56372,0.48778,0.94603,0.95812,0.89383,0.91405,0.77409,0.62188,0.41387,0.848,0.000470145,0.000470145,0.000470145
46,18077.2,0.55784,0.47533,0.9473,0.96117,0.95574,0.98246,0.8854,0.45312,0.39626,0.82224,0.000461898,0.000461898,0.000461898
47,18799.5,0.54521,0.48999,0.93754,0.94674,0.95999,0.97823,0.85961,0.50577,0.41204,0.83245,0.000453652,0.000453652,0.000453652
48,19404.6,0.54581,0.45329,0.93551,0.96354,0.95634,0.98585,0.87088,0.49644,0.38695,0.821,0.000445405,0.000445405,0.000445405
49,19461.3,0.53768,0.44624,0.93087,0.95247,0.97951,0.98741,0.85819,0.55025,0.38189,0.83151,0.000437158,0.000437158,0.000437158
50,19518,0.54273,0.45329,0.93742,0.9607,0.96085,0.97917,0.83948,0.57063,0.40282,0.84443,0.000428912,0.000428912,0.000428912
51,19570.4,0.55249,0.47138,0.9443,0.94745,0.96734,0.98178,0.88725,0.42492,0.36294,0.80947,0.000420665,0.000420665,0.000420665
