epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4862.7,0.91057,0.84037,1.07727,0.80749,0.88882,0.88657,0.66452,0.87837,0.62528,0.98048,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5022.12,0.9162,0.83907,1.07867,0.79616,0.88602,0.87416,0.66663,0.84154,0.64176,0.961,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,5180.58,0.92073,0.86352,1.09138,0.83123,0.89589,0.89495,0.68518,0.80801,0.6149,0.96694,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5340.18,0.90909,0.84973,1.07571,0.79627,0.89885,0.86888,0.66219,0.80153,0.63301,0.96622,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5505.36,0.90068,0.83011,1.07264,0.80187,0.91433,0.89802,0.69839,0.76149,0.5868,0.94789,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,5664.05,0.89766,0.82807,1.06941,0.83088,0.83214,0.86063,0.65926,0.84077,0.68189,0.97503,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5826.35,0.88856,0.81077,1.06751,0.82514,0.85895,0.88031,0.69211,0.75204,0.6063,0.95064,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5984.39,0.89778,0.81239,1.06934,0.78321,0.90919,0.88499,0.67873,0.82289,0.60123,0.97806,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,6145.49,0.89391,0.81182,1.07415,0.81972,0.87644,0.88954,0.69406,0.78024,0.57693,0.95895,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,6313.67,0.88915,0.82389,1.06269,0.78521,0.9066,0.86508,0.60968,0.99718,0.6392,1.03882,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,6480.9,0.87864,0.7959,1.05782,0.78031,0.90225,0.87735,0.68906,0.78355,0.6051,0.95856,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,6635.3,0.87532,0.78914,1.05813,0.8236,0.90176,0.90076,0.71436,0.71791,0.57454,0.93297,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,6802.23,0.87081,0.79766,1.05367,0.83653,0.90549,0.91435,0.72193,0.75465,0.54948,0.93636,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,6962.73,0.87421,0.80102,1.06144,0.81366,0.90927,0.88407,0.67035,0.84063,0.60035,0.96788,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,7123.55,0.8751,0.79968,1.06134,0.80988,0.9015,0.89001,0.69559,0.78373,0.58821,0.946,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,7289.28,0.85728,0.76187,1.04887,0.79364,0.92958,0.91297,0.72272,0.72921,0.55751,0.93848,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,7457.09,0.86527,0.78981,1.05152,0.84803,0.89437,0.89916,0.70973,0.74088,0.55847,0.92728,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,7623.05,0.85149,0.76387,1.04993,0.85084,0.88327,0.90484,0.70601,0.77521,0.56126,0.95045,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,7789.21,0.85988,0.79556,1.04911,0.82557,0.89217,0.89715,0.70687,0.72491,0.56008,0.93,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,7953.66,0.85973,0.7772,1.05902,0.80224,0.92197,0.90367,0.70007,0.79435,0.57937,0.95137,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,8110.1,0.85069,0.76286,1.04428,0.78163,0.93958,0.88865,0.66512,0.85889,0.58264,0.97331,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,8277.12,0.84643,0.7617,1.03885,0.80887,0.92295,0.91007,0.73217,0.67146,0.52954,0.91227,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,8435.85,0.85824,0.77016,1.04841,0.80746,0.92821,0.90194,0.74096,0.61726,0.54147,0.89803,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,8597.98,0.84319,0.76319,1.04884,0.84293,0.88926,0.89794,0.69694,0.78869,0.54698,0.94806,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,8762.84,0.83275,0.75372,1.03788,0.79583,0.9387,0.87423,0.68855,0.77767,0.57884,0.95282,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,8933.57,0.8311,0.75119,1.03849,0.80249,0.90492,0.89164,0.73093,0.63631,0.53788,0.90799,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,9092.6,0.83465,0.75458,1.04656,0.80147,0.93391,0.9037,0.71494,0.74536,0.55047,0.93626,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,9258.58,0.83462,0.74677,1.0394,0.83647,0.87301,0.90204,0.71726,0.71379,0.54366,0.92676,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,9425.4,0.82674,0.74935,1.03736,0.80479,0.92869,0.90644,0.72512,0.69358,0.53067,0.92001,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,9591.82,0.83238,0.75147,1.03693,0.84457,0.90671,0.9117,0.72891,0.71523,0.51935,0.93045,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,9758.66,0.83129,0.74881,1.03275,0.83179,0.87597,0.89704,0.71457,0.7023,0.54771,0.92279,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,9927.6,0.81952,0.74844,1.03703,0.84337,0.86461,0.89849,0.7187,0.72037,0.5357,0.92446,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,10095.3,0.82936,0.73545,1.03364,0.78801,0.91057,0.89131,0.70753,0.75422,0.5658,0.93778,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,10256,0.80733,0.72496,1.02981,0.82455,0.91855,0.90202,0.7314,0.65767,0.52499,0.90771,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,10422.9,0.81317,0.72337,1.02737,0.84498,0.87487,0.90295,0.72716,0.69782,0.55063,0.9166,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,10587.6,0.81549,0.74957,1.03589,0.8357,0.91243,0.91079,0.73758,0.70482,0.52227,0.92719,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,10748.9,0.82012,0.71688,1.04177,0.82611,0.93423,0.9141,0.74725,0.65365,0.50008,0.916,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,10917.8,0.80562,0.72988,1.02776,0.80831,0.91278,0.89445,0.72469,0.67487,0.52439,0.91716,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,11093.5,0.81541,0.72547,1.03267,0.83776,0.90105,0.90237,0.71248,0.75376,0.51954,0.93387,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,11262.1,0.80442,0.72378,1.01647,0.84848,0.89617,0.91778,0.73705,0.69471,0.51461,0.91967,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,11428.2,0.78851,0.72767,1.01647,0.86665,0.86628,0.91434,0.75268,0.63879,0.50276,0.89905,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,11596.2,0.81546,0.72962,1.02673,0.80313,0.93923,0.90119,0.72319,0.73125,0.52434,0.92163,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,11761.1,0.79583,0.71303,1.01603,0.79333,0.9375,0.90307,0.70548,0.79287,0.52916,0.95382,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,11925.2,0.79412,0.70896,1.02091,0.83211,0.91921,0.91776,0.73795,0.69811,0.50434,0.92064,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,12093.6,0.79846,0.71043,1.01957,0.81865,0.87561,0.89583,0.72862,0.65272,0.53161,0.90764,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
